taxa	day
EBOV|G3856|KM233113|SLE|Kenema|2014-06-18	47.7777777777778
EBOV|G3857|KM233115|SLE|Kailahun|2014-06-18	47.8888888888889
EBOV|G3886.1|KR105204|SLE|Kenema|2014-06-19	45.4
EBOV|G3889.1|KR105205|SLE|Kenema|2014-06-19	45.6
EBOV|G3913.1|KR105206|SLE|Kenema|2014-06-21	43.2
EBOV|G3917.1|KR105207|SLE|Kenema|2014-06-21	43.4
EBOV|G3926.2|KR105208|SLE|Kailahun|2014-06-22	43.6
EBOV|G3952.1|KR105211|SLE|Kailahun|2014-06-25	39.3333333333333
EBOV|G4132.1|KR105213|SLE|Kenema|2014-07-05	30.3333333333333
EBOV|G4133.1|KR105214|SLE|Kailahun|2014-07-04	31.3333333333333
EBOV|G4151.1|KR105215|SLE|Kenema|2014-07-06	28.3333333333333
EBOV|G4190.1|KR105216|SLE|Kailahun|2014-07-07	27.3333333333333
EBOV|G4200.1|KR105217|SLE|Kenema|2014-07-08	26.3333333333333
EBOV|G4235.1|KR105220|SLE|Kailahun|2014-07-11	24.1111111111111
EBOV|G4236.1|KR105221|SLE|Kailahun|2014-07-10	25.3333333333333
EBOV|G4250.1|KR105222|SLE|Kailahun|2014-07-11	24.2222222222222
EBOV|G4251.1|KR105223|SLE|Kailahun|2014-07-11	24.3333333333333
EBOV|G4252.1|KR105224|SLE|Kailahun|2014-07-11	24.4444444444444
EBOV|G4254.1|KR105225|SLE|Kailahun|2014-07-11	24.5555555555556
EBOV|G4255.1|KR105226|SLE|Kailahun|2014-07-11	24.6666666666667
EBOV|G4263.1|KR105227|SLE|Kenema|2014-07-11	24.7777777777778
EBOV|G4264.1|KR105228|SLE|Kenema|2014-07-11	24.8888888888889
EBOV|G4299.1|KR105229|SLE|Kailahun|2014-07-12	22.6666666666667
EBOV|G4316.1|KR105231|SLE|Kenema|2014-07-13	21.3333333333333
EBOV|G4323.2|KR105232|SLE|Kenema|2014-07-14	20.0909090909091
EBOV|G4324.1|KR105233|SLE|Kenema|2014-07-14	20.1818181818182
EBOV|G4325.1|KR105234|SLE|Kenema|2014-07-14	20.2727272727273
EBOV|G4329.1|KR105235|SLE|Kailahun|2014-07-14	20.3636363636364
EBOV|G4333.1|KR105236|SLE|Kailahun|2014-07-13	21.6666666666667
EBOV|G4334.1|KR105237|SLE|Kenema|2014-07-14	20.4545454545455
EBOV|G4337.1|KR105238|SLE|Kailahun|2014-07-14	20.5454545454545
EBOV|G4345.1|KR105239|SLE|Kenema|2014-07-18	16.3333333333333
EBOV|G4347.1|KR105240|SLE|Kenema|2014-07-15	20.6363636363636
EBOV|G4348.1|KR105241|SLE|Kenema|2014-07-09	26.6666666666667
EBOV|G4350.1|KR105242|SLE|Kenema|2014-07-14	20.7272727272727
EBOV|G4380.1|KR105243|SLE|Kenema|2014-07-15	20.8181818181818
EBOV|G4382.1|KR105244|SLE|Kenema|2014-07-16	19.3333333333333
EBOV|G4389.1|KR105245|SLE|Kenema|2014-07-16	19.6666666666667
EBOV|G4415.1|KR105247|SLE|Kenema|2014-07-18	16.6666666666667
EBOV|G4419.1|KR105249|SLE|Kenema|2014-07-19	15.1428571428571
EBOV|G4422.1|KR105250|SLE|Kenema|2014-07-19	15.2857142857143
EBOV|G4423.1|KR105251|SLE|Kailahun|2014-07-19	15.4285714285714
EBOV|G4424.1|KR105252|SLE|Kailahun|2014-07-19	15.5714285714286
EBOV|G4433.1|KR105254|SLE|Kailahun|2014-07-20	15.7142857142857
EBOV|G4437.1|KR105255|SLE|Kenema|2014-07-20	15.8571428571429
EBOV|G4445.1|KR105256|SLE|Kenema|2014-07-21	14.2
EBOV|G4450.1|KR105257|SLE|Kenema|2014-07-21	14.4
EBOV|G4454.1|KR105258|SLE|Kailahun|2014-07-21	14.6
EBOV|G4527.2|KR105261|SLE|Kenema|2014-07-26	9.33333333333333
EBOV|G4698.1|KR105263|SLE|Kenema|2014-08-03	0.2
EBOV|G4701.1|KR105264|SLE|Kenema|2014-08-03	0.4
EBOV|G4702.1|KR105265|SLE|Kenema|2014-08-03	0.6
